state_id,age_range_id,gender_id,Population,Deaths,Probability
10,14,1,3368662,53765,0.015960343
10,14,2,3761464,36291,0.009648105
10,15,1,2556915,59027,0.023085241
10,15,2,2953416,43096,0.014591917
10,16,1,1818835,64144,0.03526653
10,16,2,2274040,52782,0.023210674
10,17,1,1250553,68615,0.054867727
10,17,2,1779798,67813,0.038101515
10,18,1,769868,68319,0.088741187
10,18,2,1324634,84899,0.064092421
11,1,2,146948,834,0.005675477
11,1,1,154649,1099,0.007106415
11,4,2,693491,68,9.80546E-05
11,4,1,731389,118,0.000161337
11,2,2,554748,116,0.000209104
11,2,1,588149,173,0.000294143
11,3,2,675817,70,0.000103578
11,3,1,715142,77,0.000107671
11,5,2,678410,192,0.000283015
11,5,1,736070,434,0.000589618
11,6,2,729808,259,0.000354888
11,6,1,898275,804,0.000895049
11,7,2,755911,290,0.000383643
11,7,1,843634,802,0.000950649
11,8,2,737553,401,0.00054369
11,8,1,780315,958,0.001227709
11,9,2,745288,631,0.000846653
11,9,1,773203,1307,0.001690371
11,10,2,773706,1022,0.001320915
11,10,1,784218,1889,0.002408769
11,11,2,788530,1648,0.002089965
11,11,1,788658,3113,0.003947212
11,12,2,778233,2395,0.003077485
11,12,1,779242,4269,0.005478401
11,13,1,698268,5549,0.007946806
11,13,2,711108,3164,0.004449394
11,14,1,572891,6523,0.01138611
11,14,2,593287,3831,0.006457246
11,15,1,442783,7293,0.016470822
11,15,2,482518,4557,0.009444207
11,16,1,335366,8145,0.024286898
11,16,2,398706,5836,0.014637352
11,17,1,265495,10242,0.038576998
11,17,2,341674,8132,0.023800465
11,18,1,193615,12014,0.062050977
11,18,2,273821,10856,0.039646338
12,1,2,186373,992,0.005322659
12,1,1,193929,1286,0.006631293
12,4,2,936337,136,0.000145247
12,4,1,989223,266,0.000268898
12,2,2,738204,195,0.000264155
12,2,1,773732,256,0.000330864
12,3,2,928260,120,0.000129274
12,3,1,978464,144,0.000147169
12,5,2,947813,380,0.000400923
12,5,1,983849,861,0.000875134
12,6,2,875323,427,0.00048782
12,6,1,932976,1153,0.00123583
12,7,2,813724,418,0.000513688
12,7,1,849603,1042,0.001226455
12,8,2,796668,565,0.000709204
12,8,1,834155,1055,0.001264753
12,9,2,798732,823,0.001030383
12,9,1,822756,1444,0.001755077
12,10,2,824546,1271,0.001541454
12,10,1,835597,1975,0.00236358
12,11,1,838480,2995,0.00357194
12,11,2,840994,1913,0.002274689
12,12,1,815070,4327,0.005308746
12,12,2,820891,2664,0.003245254
12,13,1,723146,5493,0.007595976
12,13,2,732031,3513,0.004798977
12,14,1,604019,7015,0.011613873
12,14,2,612116,4561,0.007451202
12,15,1,478333,8232,0.017209768
12,15,2,491294,5790,0.011785204
12,16,1,359758,9830,0.027323923
12,16,2,387346,7624,0.019682661
12,17,1,263733,12161,0.046111029
12,17,2,310231,10321,0.033268758
12,18,1,177673,13434,0.075610813
12,18,2,242301,13680,0.056458702
13,1,2,1397950,9309,0.006659036
13,1,1,1458803,11750,0.008054549
13,4,2,7430505,921,0.000123949
13,4,1,7770984,1448,0.000186334
13,2,2,5633372,1332,0.000236448
